Gene_Protein	COPD1	COPD2
Q9NXB0	0	0
J7K188	0	0
F4NCC0	0	0
A8MW34	0	0
A0A059RHK8	0	0
A0A0G4PYY1	0	0
A0A0F7W070	0	0
F2WIK7	0	0
A8MVS1	0	0
F2WIK4	0	0
J7K182	0	0
Q3Y9I8	0	0
U5Z9R9	0	0
A8MVQ3	0	0
Q9NXC8	0	0
A0A059RHL4	0	0
A0A0G4PYX6	0	0
A0A059RHM0	0	0
ENSG00000144395	0	0
Q9NXD3	0	0
Q9NXD8	0	0
ENSG00000144381	0	0
A8MW57	0	0
A0A0G4PYW8	0	0
A0A0G4PYW5	0	0
A0A0G4PYW1	0	0
ENSG00000012504	0	0
A8MVU1	0	0
F2WII0	0	0
F2WII1	0	0
ENSG00000242852	0	0
A0A0G4PYV7	0	0
A7J1Q3	0	0
K4MTP3	0	0
F2WIJ8	0	0
A0A0G4PYV0	0	0
A0A059RI06	0	0
Q9NXF0	0	0
F2WIP1	0	0
A0A076JXB7	0	0
A7J1R1	0	0
A7J1R2	0	0
A7J1R3	0	0
A0A059RHG6	0	0
A7J1R4	0	0
A7J1R0	0	0
A0A059RHG2	0	0
ENSG00000144369	0	0
A7J1Q8	0	0
A7J1Q9	0	0
A7J1Q4	0	0
C0KTE7	0	0
C0KTE8	0	0
A7J1Q5	0	0
C0KTE9	0	0
A7J1Q6	0	0
A7J1Q7	0	0
C0KTE3	0	0
ENSG00000144362	0	0
C0KTE4	0	0
C0KTE5	0	0
C0KTE6	0	0
ENSG00000144366	0	0
C0KTE1	0	0
F2WJ04	0	0
L7XM56	0	0
A7J1S2	0	0
A7J1S3	0	0
A0A059RHH6	0	0
A7J1S4	0	0
A7J1S5	0	0
F8VBW7	0	0
A7J1S0	0	0
A7J1S1	0	0
A7J1R9	0	0
F6N708	0	0
A7J1R5	0	0
A7J1R6	0	0
Q3Y9M1	0	0
A7J1R7	0	0
A7J1R8	0	0
C0KTF4	0	0
C0KTF5	0	0
ENSG00000144354	0	0
C0KTF0	0	0
F2WIP2	0	0
ENSG00000144355	0	0
F2WIP3	0	0
C0KTF2	0	0
ENSG00000144357	0	0
C0KTF3	0	0
ENSG00000242802	0	0
ENSG00000119383	0	0
ENSG00000158985	0	0
ENSG00000158987	0	0
J7K196	0	0
Q9NXA4	0	0
Q9NXA5	0	0
ENSG00000119392	0	0
ENSG00000119396	0	0
ENSG00000119397	0	0
Q2L9S7	0	0
ENSG00000144339	0	0
F2WIN8	0	0
A0A0F7W082	0	0
F2WIN6	0	0
T1STG4	0	0
ENSG00000144331	0	0
F2WIN7	0	0
J7K192	0	0
T1STG6	0	0
ENSG00000158966	0	0
I6Z8E6	0	0
A0A059RHT8	0	0
A0A059RHT6	0	0
ENSG00000144320	0	0
